pmid,title,accession(s),repository,n_cases,n_controls,tissue_region,assay_type,library_prep,verification_notes,confidence
37220618,A Preliminary Comparison of the Methylome and Transcriptome from the Prefrontal Cortex Across Alzheimer's Disease and Lewy Body Dementia.,,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
37302762,Epigenomic analysis of Alzheimer's disease brains reveals diminished CTCF binding on genes involved in synaptic organization.,GSE242918,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
31113950,Epigenetic dysregulation of enhancers in neurons is associated with Alzheimer's disease pathology and cognitive symptoms.,GSE110732,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
39105932,Analysis of microisolated frontal cortex excitatory layer III and V pyramidal neurons reveals a neurodegenerative phenotype in individuals with Down syndrome.,GSE251939,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
31063847,Transcriptomic analysis of probable asymptomatic and symptomatic alzheimer brains.,GSE118553,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
34642852,Effects of estradiol supplementation on the brain transcriptome of old rhesus macaques maintained on an obesogenic diet.,GSE174153,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
30712078,Integrated DNA methylation and gene expression profiling across multiple brain regions implicate novel genes in Alzheimer's disease.,GSE125895,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
42237024,AETA peptide contributes to Alzheimer's disease signature of synapse dysfunction.,GSE333329,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
22369239,Altered gene expression profiles in the hippocampus and prefrontal cortex of type 2 diabetic rats.,GSE34451,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
38664739,Gene-expression profiling of individuals resilient to Alzheimer's disease reveals higher expression of genes related to metallothionein and mitochondrial processes and no changes in the unfolded protein response.,GSE261817,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
42419155,Systemic infections alter cortical transcriptional signatures in Alzheimer's disease.,GSE313307,GEO,,,prefrontal cortex,bulk,total/small RNA,library_sel=False; case_ctrl=True,low
