pmid,title,accession(s),repository,n_cases,n_controls,tissue_region,assay_type,library_prep,verification_notes,confidence
,Molecular Signatures of Resilience to Alzheimer's Disease in Neocortical Layer 4 Neurons,SRP500433,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 136 total samples reported",low
,Psychosis in Alzheimers Disease,SRP355130,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 80 total samples reported",low
,smRNA-sequencing of human post-mortem brain tissue of the frontal lobe from patients with Frontotemporal Dementia and healthy controls,ERP145031,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 45 total samples reported",low
,Bulk RNA-seq of postmortem human prefrontal cortex and cerebellum brain tissues,ERP160938,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 43 total samples reported",low
,Bulk RNA-seq of sporadic Alzheimer's disease and Down syndrome with Alzheimer's disease brain tissue for prefrontal cortex and cerebellum,ERP161086,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 42 total samples reported",low
,RNA-seq of human post-mortem brain tissue of the frontal lobe from patients with FTD and healthy controls,ERP144765,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 31 total samples reported",low
,Transcriptomic changes along the spatiotemporal progression of Alzheimer disease,SRP415133,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 28 total samples reported",low
,Frontal cortex pyramidal neuron expression profiles differentiate the prodromal stage from progressive degeneration across the Alzheimer's disease spectrum,SRP555161,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 20 total samples reported",low
,Frontal Cortex whole transcriptome sequencing in COVID-19 elderly patients,SRP300614,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 16 total samples reported",low
,"Single-nucleus RNA sequencing of dorsolateral prefrontal cortex from normal, pathological aging, and Alzheimer's disease human brains",SRP460672,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 15 total samples reported",low
,Spatial transcriptome study on human prefrontal cortex,SRP513051,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 6 total samples reported",low
,Distinct tau neuropathology and cellular profiles of a APOE3 Christchurch homozygote protected against Autosomal Dominant Alzheimer's dementia,SRP383236,SRA,,,prefrontal cortex,single‑cell,,"Human RNA‑seq SRA study; Disease exclusion flag present; Likely single‑cell assay; Specialized assay (e.g., MeRIP); 1 total samples reported",low
